Time [ms],0,104.1462,291.6,541.6,791.6,1027.6667,1263.7333,1499.8,1749.8,1937.2538,2124.7077,2374.7077,2624.7077,2860.7744,3096.841,3332.9077,3582.9077
Pressure [MPa],0.175,0.105,0,0.17,0.47,0.16,0.135,0.13,0.21,0.105,0,0.17,0.47,0.16,0.135,0.13,0.21
